period,market_id,temperature_c,temperature_min_c,temperature_max_c,observation_days,interest_index,below_one_share,source_resolution,label,country_iso2,country_iso3,scope,trends_geo,weather_source,latitude,longitude,timezone,hemisphere,climate_profile,analysis_role,year,month,month_name,interest_zscore,interest_scaled,temperature_climatology_c,interest_climatology,temperature_anomaly_c,interest_anomaly
2022-02-01,moscow,-2.9857142857142853,-5.682142857142857,-0.8821428571428571,28,35.17857142857143,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2022,2,Feb,-0.7594430016087997,0.1210521483657731,-6.481133004926109,36.90886699507389,3.495418719211824,-1.7302955665024626
2022-03-01,moscow,-3.7,-8.47741935483871,1.0709677419354835,31,34.0,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2022,3,Mar,-0.8399071066086867,0.09832904884318769,-1.3748387096774195,38.49677419354839,-2.3251612903225807,-4.49677419354839
2022-04-01,moscow,4.303333333333333,0.4333333333333333,8.076666666666666,30,41.6,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2022,4,Apr,-0.3210355446700223,0.24485861182519286,6.943333333333333,46.82,-2.6400000000000006,-5.219999999999999
2022-05-01,moscow,9.625806451612902,5.1,13.770967741935484,31,56.096774193548384,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2022,5,May,0.6686965433403159,0.5243593996185422,11.931612903225806,61.038709677419355,-2.305806451612904,-4.941935483870971
2022-06-01,moscow,18.040000000000003,12.64,22.276666666666664,30,74.43333333333334,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2022,6,Jun,1.9205806330035935,0.8778920308483291,18.208000000000006,74.26666666666667,-0.1680000000000028,0.1666666666666714
2022-07-01,moscow,20.593548387096774,15.59032258064516,24.967741935483872,31,73.51612903225806,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2022,7,Jul,1.8579607345409899,0.860208143295464,20.901290322580643,70.38064516129032,-0.3077419354838682,3.1354838709677466
2022-08-01,moscow,21.88064516129032,16.23548387096774,26.87741935483871,31,30.419354838709676,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2022,8,Aug,-1.0843669681332697,0.029293473754042627,19.31225806451613,49.70967741935483,2.5683870967741917,-19.290322580645157
2022-09-01,moscow,10.31,7.260000000000001,13.506666666666666,30,32.833333333333336,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2022,9,Sep,-0.9195584428712008,0.07583547557840624,13.171333333333333,38.22,-2.8613333333333326,-5.386666666666663
2022-10-01,moscow,6.932258064516129,4.16774193548387,9.738709677419354,31,33.54838709677419,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2022,10,Oct,-0.8707398819361117,0.0896218591923045,6.501935483870968,34.30322580645161,0.4303225806451616,-0.754838709677415
2022-11-01,moscow,-1.21,-2.89,0.3,30,33.43333333333333,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2022,11,Nov,-0.8785948985076224,0.08740359897172233,0.8526666666666667,34.96,-2.062666666666667,-1.5266666666666708
2022-12-01,moscow,-5.16774193548387,-7.229032258064516,-3.0032258064516126,31,31.548387096774192,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2022,12,Dec,-1.0072850298147076,0.05106144788125052,-4.844516129032258,33.490322580645156,-0.32322580645161203,-1.9419354838709637
